run,t,x,y,heading,speed,turn_rate,left_spin,right_spin,left_encoder,right_encoder,gyro,left_noise,right_noise,gyro_noise,gyro_bias
0,0.00,0.0000,0.0000,0.0000,1.1437,-0.5289,12.6271,10.2470,12.5786,10.4311,-0.5272,0.13051,0.12099,0.01016,0.000629
0,0.02,0.0229,-0.0001,-0.0106,1.1505,-0.5260,12.6889,10.3220,12.5786,10.4311,-0.5121,0.13076,0.12129,0.01016,0.000629
0,0.04,0.0459,-0.0005,-0.0211,1.1574,-0.5229,12.7502,10.3971,12.8854,10.4311,-0.5351,0.13100,0.12159,0.01016,0.000629
0,0.06,0.0690,-0.0011,-0.0316,1.1641,-0.5197,12.8108,10.4722,12.5786,10.4311,-0.5427,0.13124,0.12189,0.01016,0.000629
0,0.08,0.0923,-0.0020,-0.0419,1.1709,-0.5163,12.8708,10.5473,12.8854,10.4311,-0.5231,0.13148,0.12219,0.01015,0.000629
0,0.10,0.1157,-0.0031,-0.0523,1.1776,-0.5128,12.9301,10.6223,12.8854,10.4311,-0.5080,0.13172,0.12249,0.01015,0.000629
0,0.12,0.1392,-0.0044,-0.0625,1.1843,-0.5092,12.9887,10.6973,13.1922,10.7379,-0.4947,0.13195,0.12279,0.01015,0.000629
0,0.14,0.1628,-0.0060,-0.0727,1.1909,-0.5055,13.0467,10.7721,12.8854,10.7379,-0.4957,0.13219,0.12309,0.01015,0.000629
0,0.16,0.1866,-0.0079,-0.0828,1.1975,-0.5016,13.1039,10.8467,13.1922,10.7379,-0.5103,0.13242,0.12339,0.01015,0.000629
0,0.18,0.2104,-0.0100,-0.0929,1.2041,-0.4976,13.1603,10.9212,13.1922,11.0447,-0.5072,0.13264,0.12368,0.01015,0.000629
0,0.20,0.2344,-0.0123,-0.1028,1.2106,-0.4935,13.2160,10.9954,13.1922,11.0447,-0.4873,0.13286,0.12398,0.01015,0.000629
0,0.22,0.2585,-0.0149,-0.1127,1.2170,-0.4892,13.2709,11.0694,13.1922,11.0447,-0.4952,0.13308,0.12428,0.01015,0.000629
0,0.24,0.2826,-0.0178,-0.1225,1.2234,-0.4849,13.3250,11.1431,13.1922,11.3515,-0.4691,0.13330,0.12457,0.01015,0.000629
0,0.26,0.3069,-0.0209,-0.1322,1.2297,-0.4804,13.3783,11.2164,13.1922,11.3515,-0.4661,0.13351,0.12487,0.01014,0.000629
