arm,condition,mode,severity,channel,seed,speed_rmse,nis,nees
analytic + best const R,healthy,none,0,left_encoder,2000,0.00517221,2.93543,2.32846
analytic + best const R,healthy,none,0,left_encoder,2001,0.00499234,3.01183,1.6825
analytic + best const R,healthy,none,0,left_encoder,2002,0.00512038,3.1002,1.75312
analytic + best const R,healthy,none,0,left_encoder,2003,0.0057107,2.9873,1.97199
analytic + best const R,healthy,none,0,left_encoder,2004,0.00502561,2.85347,1.63963
analytic + best const R,healthy,none,0,left_encoder,2005,0.00531179,3.01799,2.29918
analytic + best const R,healthy,none,0,left_encoder,2006,0.00496983,2.90401,1.87904
analytic + best const R,healthy,none,0,left_encoder,2007,0.0052508,2.80898,1.79549
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2000,0.00685327,3.27234,2.85094
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2001,0.00659483,3.25605,2.31605
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2002,0.00686719,3.29049,2.47703
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2003,0.00715243,3.16521,2.6689
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2004,0.00702611,3.09236,2.45823
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2005,0.00670823,3.33274,2.71286
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2006,0.00650547,3.10143,2.39242
analytic + best const R,bias 0.5,bias,0.5,left_encoder,2007,0.00725836,3.02989,2.65155
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2000,0.0144769,5.16178,8.21726
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2001,0.0142412,4.96013,7.90454
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2002,0.0145334,4.88669,8.24622
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2003,0.0145062,4.73665,8.38411
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2004,0.0148246,4.78577,8.4168
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2005,0.0141687,5.17786,7.8616
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2006,0.0141332,4.71189,7.74055
analytic + best const R,bias 1.5,bias,1.5,left_encoder,2007,0.0150031,4.68734,8.68504
analytic + best const R,bias 3.0,bias,3,left_encoder,2000,0.0275492,11.035,27.0702
analytic + best const R,bias 3.0,bias,3,left_encoder,2001,0.0273358,10.5553,27.0907
analytic + best const R,bias 3.0,bias,3,left_encoder,2002,0.0276183,10.32,27.7035
analytic + best const R,bias 3.0,bias,3,left_encoder,2003,0.0274735,10.1329,27.7604
analytic + best const R,bias 3.0,bias,3,left_encoder,2004,0.0279432,10.3649,28.1581
analytic + best const R,bias 3.0,bias,3,left_encoder,2005,0.0272,10.9846,26.3882
analytic + best const R,bias 3.0,bias,3,left_encoder,2006,0.0272276,10.1666,26.5662
analytic + best const R,bias 3.0,bias,3,left_encoder,2007,0.028092,10.2126,28.5387
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2000,0.00568674,3.40639,2.5396
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2001,0.00536033,3.41539,1.8295
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2002,0.00535442,3.53522,1.84746
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2003,0.00601384,3.37545,2.09146
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2004,0.00545095,3.20421,1.79006
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2005,0.00562604,3.42118,2.41843
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2006,0.00549928,3.33764,2.09469
analytic + best const R,noise 0.5,noise_inflation,0.5,left_encoder,2007,0.00577478,3.13341,1.99597
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2000,0.00856758,6.73623,4.04736
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2001,0.00797866,6.53772,3.11969
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2002,0.00784195,6.92977,3.06045
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2003,0.00859511,6.71198,3.44117
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2004,0.0081192,6.20572,3.09191
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2005,0.00819987,6.7538,3.70385
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2006,0.00865718,6.54212,3.74544
analytic + best const R,noise 1.5,noise_inflation,1.5,left_encoder,2007,0.00848869,6.07307,3.39098
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2000,0.0144819,17.7008,9.02271
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2001,0.0135762,17.0093,7.54546
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2002,0.0134367,18.3329,7.44072
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2003,0.0143856,18.1174,8.24266
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2004,0.0137286,16.4581,7.54723
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2005,0.0138706,18.0683,8.24921
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2006,0.015035,17.1918,9.27023
analytic + best const R,noise 3.0,noise_inflation,3,left_encoder,2007,0.0140716,16.2095,7.96859
plain network,healthy,none,0,left_encoder,2000,0.00541588,2.9741,3.00987
plain network,healthy,none,0,left_encoder,2001,0.00597322,3.01896,2.20345
plain network,healthy,none,0,left_encoder,2002,0.00588133,3.11485,2.28099
plain network,healthy,none,0,left_encoder,2003,0.00589342,2.99602,2.19655
plain network,healthy,none,0,left_encoder,2004,0.00565728,2.87871,2.04421
plain network,healthy,none,0,left_encoder,2005,0.00574069,3.0648,3.14635
plain network,healthy,none,0,left_encoder,2006,0.00489707,2.91467,2.25518
plain network,healthy,none,0,left_encoder,2007,0.0055046,2.82093,2.16765
plain network,bias 0.5,bias,0.5,left_encoder,2000,0.00789944,3.38932,3.81512
plain network,bias 0.5,bias,0.5,left_encoder,2001,0.00721427,3.37337,2.6657
plain network,bias 0.5,bias,0.5,left_encoder,2002,0.00708661,3.4198,2.75258
plain network,bias 0.5,bias,0.5,left_encoder,2003,0.00786964,3.24215,3.09133
plain network,bias 0.5,bias,0.5,left_encoder,2004,0.00798067,3.16084,3.07748
plain network,bias 0.5,bias,0.5,left_encoder,2005,0.00743008,3.48047,3.71188
plain network,bias 0.5,bias,0.5,left_encoder,2006,0.00732823,3.1946,3.03799
plain network,bias 0.5,bias,0.5,left_encoder,2007,0.00812453,3.13257,3.2834
plain network,bias 1.5,bias,1.5,left_encoder,2000,0.0160407,5.38055,10.1932
plain network,bias 1.5,bias,1.5,left_encoder,2001,0.0146057,5.25803,7.9462
plain network,bias 1.5,bias,1.5,left_encoder,2002,0.0159182,5.13983,9.57601
plain network,bias 1.5,bias,1.5,left_encoder,2003,0.0165074,4.86538,10.2563
plain network,bias 1.5,bias,1.5,left_encoder,2004,0.0157749,4.89538,9.50067
plain network,bias 1.5,bias,1.5,left_encoder,2005,0.0151828,5.47557,9.24677
plain network,bias 1.5,bias,1.5,left_encoder,2006,0.0156729,4.8455,9.38054
plain network,bias 1.5,bias,1.5,left_encoder,2007,0.0164832,4.98213,10.2328
plain network,bias 3.0,bias,3,left_encoder,2000,0.028548,11.5633,29.0063
plain network,bias 3.0,bias,3,left_encoder,2001,0.0275906,11.1112,26.6037
plain network,bias 3.0,bias,3,left_encoder,2002,0.0297718,10.609,31.9885
plain network,bias 3.0,bias,3,left_encoder,2003,0.0299916,10.2789,31.9006
plain network,bias 3.0,bias,3,left_encoder,2004,0.0287757,10.5294,29.8242
plain network,bias 3.0,bias,3,left_encoder,2005,0.028219,11.5426,28.3827
plain network,bias 3.0,bias,3,left_encoder,2006,0.0288331,10.3565,29.3759
plain network,bias 3.0,bias,3,left_encoder,2007,0.0300558,10.4743,32.1391
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2000,0.00582278,3.44044,3.18854
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2001,0.00630729,3.38817,2.31361
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2002,0.00609085,3.54579,2.38463
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2003,0.00613549,3.37954,2.29163
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2004,0.00604445,3.23137,2.20069
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2005,0.00601509,3.46558,3.26477
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2006,0.00542213,3.34833,2.472
plain network,noise 0.5,noise_inflation,0.5,left_encoder,2007,0.00595786,3.14584,2.34319
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2000,0.00852717,6.75878,4.62185
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2001,0.00861411,6.46925,3.52062
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2002,0.00837077,6.92604,3.64146
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2003,0.00863938,6.70386,3.6052
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2004,0.00852884,6.2373,3.51172
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2005,0.00845561,6.79263,4.57277
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2006,0.00859085,6.55023,4.12287
plain network,noise 1.5,noise_inflation,1.5,left_encoder,2007,0.00853593,6.08459,3.67614
plain network,noise 3.0,noise_inflation,3,left_encoder,2000,0.0143123,17.7017,9.46216
plain network,noise 3.0,noise_inflation,3,left_encoder,2001,0.0139499,16.8453,7.96803
plain network,noise 3.0,noise_inflation,3,left_encoder,2002,0.013731,18.2854,8.0076
plain network,noise 3.0,noise_inflation,3,left_encoder,2003,0.0144187,18.0815,8.35823
plain network,noise 3.0,noise_inflation,3,left_encoder,2004,0.0139487,16.4927,7.98339
plain network,noise 3.0,noise_inflation,3,left_encoder,2005,0.0139867,18.0999,9.08329
plain network,noise 3.0,noise_inflation,3,left_encoder,2006,0.0149582,17.1875,9.63333
plain network,noise 3.0,noise_inflation,3,left_encoder,2007,0.0140047,16.2158,8.13123
residual network,healthy,none,0,left_encoder,2000,0.00818467,2.94803,4.53702
residual network,healthy,none,0,left_encoder,2001,0.00952877,2.8919,4.09461
residual network,healthy,none,0,left_encoder,2002,0.00798279,3.10055,3.1781
residual network,healthy,none,0,left_encoder,2003,0.00802746,2.98319,3.0903
residual network,healthy,none,0,left_encoder,2004,0.0102192,2.895,4.65288
residual network,healthy,none,0,left_encoder,2005,0.00729886,3.05749,4.03151
residual network,healthy,none,0,left_encoder,2006,0.00770032,2.92124,3.57603
residual network,healthy,none,0,left_encoder,2007,0.00867004,2.82357,3.72825
residual network,bias 0.5,bias,0.5,left_encoder,2000,0.0117951,3.33173,6.57918
residual network,bias 0.5,bias,0.5,left_encoder,2001,0.0137675,3.06177,6.52813
residual network,bias 0.5,bias,0.5,left_encoder,2002,0.0117247,3.27897,5.73091
residual network,bias 0.5,bias,0.5,left_encoder,2003,0.0115411,3.20323,5.38124
residual network,bias 0.5,bias,0.5,left_encoder,2004,0.0124943,3.16442,6.11269
residual network,bias 0.5,bias,0.5,left_encoder,2005,0.0108194,3.44661,5.95688
residual network,bias 0.5,bias,0.5,left_encoder,2006,0.0111976,3.14345,5.49782
residual network,bias 0.5,bias,0.5,left_encoder,2007,0.0123092,3.12205,6.19492
residual network,bias 1.5,bias,1.5,left_encoder,2000,0.0196143,5.25888,14.2163
residual network,bias 1.5,bias,1.5,left_encoder,2001,0.0222846,4.63268,14.0609
residual network,bias 1.5,bias,1.5,left_encoder,2002,0.0224768,4.64929,17.8492
residual network,bias 1.5,bias,1.5,left_encoder,2003,0.0200952,4.8412,14.3505
residual network,bias 1.5,bias,1.5,left_encoder,2004,0.0208554,4.76968,14.9369
residual network,bias 1.5,bias,1.5,left_encoder,2005,0.0190149,5.35542,13.717
residual network,bias 1.5,bias,1.5,left_encoder,2006,0.0192319,4.766,13.5693
residual network,bias 1.5,bias,1.5,left_encoder,2007,0.0215424,4.89861,16.8513
residual network,bias 3.0,bias,3,left_encoder,2000,0.0345451,10.5365,41.3489
residual network,bias 3.0,bias,3,left_encoder,2001,0.0358563,10.0572,35.3281
residual network,bias 3.0,bias,3,left_encoder,2002,0.0355832,9.70818,42.4853
residual network,bias 3.0,bias,3,left_encoder,2003,0.0330223,10.1559,37.2918
residual network,bias 3.0,bias,3,left_encoder,2004,0.0343615,9.71729,39.301
residual network,bias 3.0,bias,3,left_encoder,2005,0.0314362,11.1116,33.9713
residual network,bias 3.0,bias,3,left_encoder,2006,0.0326693,10.1708,36.8523
residual network,bias 3.0,bias,3,left_encoder,2007,0.0344228,10.6896,39.3227
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2000,0.00836745,3.41981,4.66288
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2001,0.0100286,3.26934,4.39426
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2002,0.00800173,3.53522,3.22145
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2003,0.00823466,3.36931,3.18985
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2004,0.0105263,3.24723,4.86022
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2005,0.00745892,3.45439,4.14692
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2006,0.00796414,3.3554,3.69954
residual network,noise 0.5,noise_inflation,0.5,left_encoder,2007,0.00908759,3.15115,3.9705
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2000,0.0102615,6.74452,5.94669
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2001,0.0115858,6.34474,5.97655
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2002,0.00956112,6.92206,4.23502
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2003,0.0103472,6.6917,4.55621
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2004,0.0121834,6.2476,6.22755
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2005,0.00947932,6.76595,5.43789
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2006,0.0104752,6.53688,5.35958
residual network,noise 1.5,noise_inflation,1.5,left_encoder,2007,0.0111728,6.08876,5.44677
residual network,noise 3.0,noise_inflation,3,left_encoder,2000,0.0152074,17.6926,10.5495
residual network,noise 3.0,noise_inflation,3,left_encoder,2001,0.0148459,16.0642,8.13332
residual network,noise 3.0,noise_inflation,3,left_encoder,2002,0.0142484,18.2863,8.25693
residual network,noise 3.0,noise_inflation,3,left_encoder,2003,0.0152674,18.0383,9.0522
residual network,noise 3.0,noise_inflation,3,left_encoder,2004,0.0161348,16.4729,9.95502
residual network,noise 3.0,noise_inflation,3,left_encoder,2005,0.0146318,18.0354,9.91545
residual network,noise 3.0,noise_inflation,3,left_encoder,2006,0.0159482,17.1651,10.5869
residual network,noise 3.0,noise_inflation,3,left_encoder,2007,0.0159831,16.2176,10.082
adaptive R (Mehra),healthy,none,0,left_encoder,2000,0.00507764,2.91014,3.0692
adaptive R (Mehra),healthy,none,0,left_encoder,2001,0.00491574,2.98202,2.02587
adaptive R (Mehra),healthy,none,0,left_encoder,2002,0.00501255,2.9775,2.06818
adaptive R (Mehra),healthy,none,0,left_encoder,2003,0.00564176,2.96413,2.35857
