arm,condition,mode,severity,channel,seed,speed_rmse,nis,nees
analytic + best const R,healthy,none,0,gyro,2000,0.00517221,2.93543,2.32846
analytic + best const R,healthy,none,0,gyro,2001,0.00499234,3.01183,1.6825
analytic + best const R,healthy,none,0,gyro,2002,0.00512038,3.1002,1.75312
analytic + best const R,healthy,none,0,gyro,2003,0.0057107,2.9873,1.97199
analytic + best const R,healthy,none,0,gyro,2004,0.00502561,2.85347,1.63963
analytic + best const R,healthy,none,0,gyro,2005,0.00531179,3.01799,2.29918
analytic + best const R,healthy,none,0,gyro,2006,0.00496983,2.90401,1.87904
analytic + best const R,healthy,none,0,gyro,2007,0.0052508,2.80898,1.79549
analytic + best const R,bias 0.5,bias,0.5,gyro,2000,0.00517221,2.97022,3.21166
analytic + best const R,bias 0.5,bias,0.5,gyro,2001,0.00499234,3.02816,1.95753
analytic + best const R,bias 0.5,bias,0.5,gyro,2002,0.00512039,3.10579,2.01741
analytic + best const R,bias 0.5,bias,0.5,gyro,2003,0.0057107,2.99042,2.04534
analytic + best const R,bias 0.5,bias,0.5,gyro,2004,0.00502561,2.86874,1.94431
analytic + best const R,bias 0.5,bias,0.5,gyro,2005,0.00531179,3.04837,3.12883
analytic + best const R,bias 0.5,bias,0.5,gyro,2006,0.00496983,2.91102,2.48546
analytic + best const R,bias 0.5,bias,0.5,gyro,2007,0.0052508,2.82066,2.10901
analytic + best const R,bias 1.5,bias,1.5,gyro,2000,0.00517221,3.08804,6.23102
analytic + best const R,bias 1.5,bias,1.5,gyro,2001,0.00499233,3.10905,3.76057
analytic + best const R,bias 1.5,bias,1.5,gyro,2002,0.00512039,3.1652,3.79895
analytic + best const R,bias 1.5,bias,1.5,gyro,2003,0.0057107,3.0449,3.44499
analytic + best const R,bias 1.5,bias,1.5,gyro,2004,0.00502562,2.94751,3.80661
analytic + best const R,bias 1.5,bias,1.5,gyro,2005,0.00531178,3.15736,6.0411
analytic + best const R,bias 1.5,bias,1.5,gyro,2006,0.00496983,2.97327,4.95127
analytic + best const R,bias 1.5,bias,1.5,gyro,2007,0.0052508,2.89227,3.98903
analytic + best const R,bias 3.0,bias,3,gyro,2000,0.00517221,3.38537,13.8925
analytic + best const R,bias 3.0,bias,3,gyro,2001,0.00499233,3.35098,9.59753
analytic + best const R,bias 3.0,bias,3,gyro,2002,0.00512039,3.3749,9.60367
analytic + best const R,bias 3.0,bias,3,gyro,2003,0.0057107,3.24721,8.67689
analytic + best const R,bias 3.0,bias,3,gyro,2004,0.00502562,3.18626,9.73249
analytic + best const R,bias 3.0,bias,3,gyro,2005,0.00531178,3.44144,13.5419
analytic + best const R,bias 3.0,bias,3,gyro,2006,0.00496982,3.18724,11.7824
analytic + best const R,bias 3.0,bias,3,gyro,2007,0.00525081,3.12028,9.94146
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2000,0.00517221,3.06036,2.42201
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2001,0.00499234,3.11113,1.77494
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2002,0.00512038,3.22723,1.87317
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2003,0.0057107,3.11419,2.13295
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2004,0.00502561,2.95961,1.80535
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2005,0.00531179,3.13879,2.42798
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2006,0.00496983,2.99271,1.95514
analytic + best const R,noise 0.5,noise_inflation,0.5,gyro,2007,0.0052508,2.88119,1.93897
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2000,0.00517221,3.95055,3.32835
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2001,0.00499234,3.93017,2.64392
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2002,0.00512038,4.16816,2.85648
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2003,0.0057107,4.06168,3.20058
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2004,0.00502561,3.77837,2.85088
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2005,0.00531179,4.06812,3.41666
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2006,0.00496983,3.77132,2.85843
analytic + best const R,noise 1.5,noise_inflation,1.5,gyro,2007,0.0052508,3.64318,2.90378
