arm,condition,fraction,speed,nis,hit,false
analytic,healthy,0,0.00519421,2.9524,,
analytic,stuck 0.3,0.3,0.18252,446.524,,
analytic,stuck 0.5,0.5,0.221217,506.949,,
analytic + frozen detector,healthy,0,0.00583318,2.80682,,
analytic + frozen detector,stuck 0.3,0.3,0.00770458,1.7543,1,100.25
analytic + frozen detector,stuck 0.5,0.5,0.00770462,1.73493,1,72.875
layered,healthy,0,0.00757822,1.92178,,
layered,stuck 0.3,0.3,0.201829,11.7404,,
layered,stuck 0.5,0.5,0.180628,8.88423,,
layered + frozen detector,healthy,0,0.00809953,1.82364,,
layered + frozen detector,stuck 0.3,0.3,0.00936235,1.15539,1,100.25
layered + frozen detector,stuck 0.5,0.5,0.00857145,1.12948,1,72.875
