arm,condition,fraction,speed,nis,hit,false
analytic,healthy,0,0.00519421,2.9524,,
analytic,stuck 0.3,0.3,0.18252,446.524,,
analytic,stuck 0.5,0.5,0.221217,506.949,,
analytic + frozen detector,healthy,0,0.00519421,2.9524,,
analytic + frozen detector,stuck 0.3,0.3,0.00857045,2.12818,1,2
analytic + frozen detector,stuck 0.5,0.5,0.00862717,2.07747,1,2.5
layered,healthy,0,0.00757822,1.92178,,
layered,stuck 0.3,0.3,0.201829,11.7404,,
layered,stuck 0.5,0.5,0.180628,8.88423,,
layered + frozen detector,healthy,0,0.00757822,1.92178,,
layered + frozen detector,stuck 0.3,0.3,0.0103129,1.28478,1,2
layered + frozen detector,stuck 0.5,0.5,0.010726,1.26576,1,2.5
