scenario,arm,seed,t,severity,speed_error,speed_sd,nis,bias_left,noise_left,r_ale_left,r_unm_left
bias,analytic + best const R,2000,0,0,-0.0021318,0.0097498,2.456,,,,
bias,analytic + best const R,2000,0.1,0,0.0081468,0.0064973,2.9533,,,,
bias,analytic + best const R,2000,0.2,0,0.0097297,0.0056942,5.012,,,,
bias,analytic + best const R,2000,0.3,0,0.0056195,0.0054014,1.9001,,,,
bias,analytic + best const R,2000,0.4,0,-0.0013644,0.0053715,1.1219,,,,
bias,analytic + best const R,2000,0.5,0,0.0050513,0.0053711,6.4308,,,,
bias,analytic + best const R,2000,0.6,0,0.0012299,0.0053703,0.29882,,,,
bias,analytic + best const R,2000,0.7,0,0.0031691,0.0053701,4.0794,,,,
bias,analytic + best const R,2000,0.8,0,0.0038334,0.0053701,0.7985,,,,
bias,analytic + best const R,2000,0.9,0,-0.00054155,0.0053701,0.064007,,,,
bias,analytic + best const R,2000,1,0,-0.0036603,0.0053701,1.3687,,,,
bias,analytic + best const R,2000,1.1,0,-0.0057001,0.0053701,1.763,,,,
bias,analytic + best const R,2000,1.2,0,-0.0030756,0.0053701,0.42865,,,,
bias,analytic + best const R,2000,1.3,0,-0.00064521,0.0053701,1.2894,,,,
bias,analytic + best const R,2000,1.4,0,-0.00082083,0.0053701,4.6819,,,,
bias,analytic + best const R,2000,1.5,0,0.0030964,0.0053701,2.048,,,,
bias,analytic + best const R,2000,1.6,0,-0.0016491,0.0053701,0.85311,,,,
bias,analytic + best const R,2000,1.7,0,-0.0056556,0.0053701,0.48597,,,,
bias,analytic + best const R,2000,1.8,0,0.0066194,0.0053701,1.4614,,,,
bias,analytic + best const R,2000,1.9,0,0.0075462,0.0053701,3.1323,,,,
bias,analytic + best const R,2000,2,0,3.8906e-05,0.0053701,0.98402,,,,
bias,analytic + best const R,2000,2.1,0,0.00067224,0.0053701,10.54,,,,
bias,analytic + best const R,2000,2.2,0,-0.0010014,0.0053701,6.3939,,,,
bias,analytic + best const R,2000,2.3,0,0.0040028,0.0053701,8.0494,,,,
bias,analytic + best const R,2000,2.4,0,-0.0069765,0.0053701,1.7002,,,,
bias,analytic + best const R,2000,2.5,0,0.003161,0.0053701,2.6919,,,,
bias,analytic + best const R,2000,2.6,0,0.003782,0.0053701,5.0389,,,,
bias,analytic + best const R,2000,2.7,0,0.0064803,0.0053701,0.41933,,,,
bias,analytic + best const R,2000,2.8,0,-0.00050611,0.0053701,2.9468,,,,
bias,analytic + best const R,2000,2.9,0,-0.0068803,0.0053701,2.7675,,,,
bias,analytic + best const R,2000,3,0,-0.0040805,0.0053701,5.8261,,,,
bias,analytic + best const R,2000,3.1,0,0.0011607,0.0053701,1.815,,,,
bias,analytic + best const R,2000,3.2,0,0.0064607,0.0053701,3.9896,,,,
bias,analytic + best const R,2000,3.3,0,0.0034518,0.0053701,5.5251,,,,
bias,analytic + best const R,2000,3.4,0,0.0011867,0.0053701,2.7997,,,,
bias,analytic + best const R,2000,3.5,0,-0.0095353,0.0053701,3.0128,,,,
bias,analytic + best const R,2000,3.6,0,0.0065773,0.0053701,0.58926,,,,
bias,analytic + best const R,2000,3.7,0,0.011685,0.0053701,1.3693,,,,
bias,analytic + best const R,2000,3.8,0,-0.0011322,0.0053701,2.0833,,,,
bias,analytic + best const R,2000,3.9,0,0.012501,0.0053701,4.6517,,,,
bias,analytic + best const R,2000,4,0,0.0031276,0.0053701,2.363,,,,
bias,analytic + best const R,2000,4.1,0,-0.0081676,0.0053701,1.6396,,,,
bias,analytic + best const R,2000,4.2,0,0.0026043,0.0053701,0.28106,,,,
bias,analytic + best const R,2000,4.3,0,0.0011752,0.0053701,4.3306,,,,
bias,analytic + best const R,2000,4.4,0,-0.0012293,0.0053701,1.1458,,,,
bias,analytic + best const R,2000,4.5,0,-0.0051295,0.0053701,2.0657,,,,
bias,analytic + best const R,2000,4.6,0,-0.0099815,0.0053701,0.70986,,,,
bias,analytic + best const R,2000,4.7,0,-0.0036629,0.0053701,3.4117,,,,
bias,analytic + best const R,2000,4.8,0,-0.0028729,0.0053701,0.65718,,,,
bias,analytic + best const R,2000,4.9,0,0.010409,0.0053701,5.3412,,,,
bias,analytic + best const R,2000,5,0,-0.0053197,0.0053701,9.5708,,,,
bias,analytic + best const R,2000,5.1,0,-0.0043792,0.0053701,0.86659,,,,
bias,analytic + best const R,2000,5.2,0,-0.0093875,0.0053701,3.8888,,,,
bias,analytic + best const R,2000,5.3,0,-0.0062566,0.0053701,3.6667,,,,
bias,analytic + best const R,2000,5.4,0,-0.0045547,0.0053701,0.88571,,,,
bias,analytic + best const R,2000,5.5,0,0.0081513,0.0053701,1.1302,,,,
bias,analytic + best const R,2000,5.6,0,-0.0012368,0.0053701,0.49676,,,,
bias,analytic + best const R,2000,5.7,0,-0.0024558,0.0053701,5.0124,,,,
bias,analytic + best const R,2000,5.8,0,-0.0022285,0.0053701,1.2416,,,,
bias,analytic + best const R,2000,5.9,0,-0.0051082,0.0053701,0.49083,,,,
bias,analytic + best const R,2000,6,0,-0.0035904,0.0053701,0.24534,,,,
bias,analytic + best const R,2000,6.1,0,-0.00020817,0.0053701,1.3613,,,,
